alpha,mode,use_networkx,n,d,outlier_scale,exp_list_T,exp_list_R,exp_list_lambda,exp_list_dL,exp_list_r,exp_list_theta,exp_list_rho,exp_list_cluster_radius,exp_list_num_cands,exp_list_best_err,exp_list_best_mse,seed
0.2,uniform,0,5000,20,10.0,7,10,0.001,2,8,0.1,0.5,0.0,10,1.4321829788863167,2.005984232446194,2
0.2,uniform,0,5000,20,10.0,7,10,0.001,2,8,0.1,0.5,0.0,10,3.137333303811379,10.240871099460364,3
0.2,uniform,0,5000,20,10.0,7,10,0.001,2,8,0.1,0.5,0.0,10,1.9805946362826186,3.6870208977225194,4
0.2,0.1,10,2,0.0,0,10.0,uniform,8,0.5,7,0.001,5000,20,mean,5,10.0,0.0,1.7949114164712072,0.7412836831541779,3.7971400729946567,3.3365431155304686
0.15,uniform,0,5000,20,10.0,7,10,0.001,2,8,0.1,0.5,0.0,10,2.187193504649701,4.911232005436666,0
0.15,uniform,0,5000,20,10.0,7,10,0.001,2,8,0.1,0.5,0.0,10,1.186537362351904,1.3980002367065367,1
0.15,uniform,0,5000,20,10.0,7,10,0.001,2,8,0.1,0.5,0.0,10,2.460598554411472,5.836310453192023,2
0.15,uniform,0,5000,20,10.0,7,10,0.001,2,8,0.1,0.5,0.0,10,3.5338615949144367,12.7850295168839,3
0.15,uniform,0,5000,20,10.0,7,10,0.001,2,8,0.1,0.5,0.0,10,3.2305882733875357,10.319349616459931,4
0.15,0.1,10,2,0.0,0,10.0,uniform,8,0.5,7,0.001,5000,20,mean,5,10.0,0.0,2.51975585794301,0.827678926997707,7.049984365735812,4.039100955604425
0.1,uniform,0,5000,20,10.0,7,10,0.001,2,8,0.1,0.5,0.0,10,2.8763927784749694,8.468632078355087,0
0.1,uniform,0,5000,20,10.0,7,10,0.001,2,8,0.1,0.5,0.0,10,1.715255262483019,2.756491902997863,1
0.1,uniform,0,5000,20,10.0,7,10,0.001,2,8,0.1,0.5,0.0,10,2.727103113356433,6.918449580519461,2
0.1,uniform,0,5000,20,10.0,7,10,0.001,2,8,0.1,0.5,0.0,10,4.105997100389194,16.98085611371549,3
0.1,uniform,0,5000,20,10.0,7,10,0.001,2,8,0.1,0.5,0.0,10,3.426743412203851,11.765931624678688,4
0.1,0.1,10,2,0.0,0,10.0,uniform,8,0.5,7,0.001,5000,20,mean,5,10.0,0.0,2.9702983333814936,0.792622113930664,9.378072260053319,4.779672504794498
0.05,uniform,0,5000,20,10.0,7,10,0.001,2,8,0.1,0.5,0.0,10,3.2201460748634547,10.77055297598743,0
0.05,uniform,0,5000,20,10.0,7,10,0.001,2,8,0.1,0.5,0.0,10,2.2309252104236212,4.814744476805157,1
0.05,uniform,0,5000,20,10.0,7,10,0.001,2,8,0.1,0.5,0.0,10,3.6237241801846953,12.20063293582316,2
0.05,uniform,0,5000,20,10.0,7,10,0.001,2,8,0.1,0.5,0.0,10,4.7557710732324345,23.481302907129674,3
0.05,uniform,0,5000,20,10.0,7,10,0.001,2,8,0.1,0.5,0.0,10,4.046670383668289,16.186270659730354,4
0.05,0.1,10,2,0.0,0,10.0,uniform,8,0.5,7,0.001,5000,20,mean,5,10.0,0.0,3.5754473844744994,0.8427959030918691,13.490700791095156,6.187308376544962
